"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28261","test_restart","hil.zephyr.nrf52840dk","Mon Nov 24 00:11:48 UTC 2025","passed","Mon Nov 24 00:12:16 UTC 2025","","test_settings","",""
"","772","test_no_args","hil.zephyr.esp32s3_devkitc","Mon Nov 24 00:14:34 UTC 2025","passed","Mon Nov 24 00:14:34 UTC 2025","","test_rpc","",""
"","3709","test_set_bool","hil.zephyr.nrf9160dk","Mon Nov 24 00:34:06 UTC 2025","passed","Mon Nov 24 00:34:10 UTC 2025","","test_settings","",""
"","3410","test_set_int_range","hil.zephyr.frdm_rw612","Mon Nov 24 00:21:29 UTC 2025","passed","Mon Nov 24 00:21:33 UTC 2025","","test_settings","",""
"","726","test_manifest","hil.zephyr.nrf52840dk","Mon Nov 24 00:13:52 UTC 2025","passed","Mon Nov 24 00:13:53 UTC 2025","","test_ota","",""
"","483","test_manifest","hil.zephyr.native_sim_32","Mon Nov 24 00:05:19 UTC 2025","passed","Mon Nov 24 00:05:19 UTC 2025","","test_ota","",""
"","810","test_float_return","hil.zephyr.rak5010","Mon Nov 24 00:07:19 UTC 2025","passed","Mon Nov 24 00:07:20 UTC 2025","","test_rpc","",""
"","969","test_not_registered","hil.zephyr.esp32s3_devkitc","Mon Nov 24 00:14:33 UTC 2025","passed","Mon Nov 24 00:14:34 UTC 2025","","test_rpc","",""
"","1082","test_string_return","hil.esp-idf.esp32s3_devkitc_espidf","Mon Nov 24 00:18:23 UTC 2025","passed","Mon Nov 24 00:18:24 UTC 2025","","test_rpc","",""
"","19045","test_logging","sample.zephyr.nrf52840dk","Mon Nov 24 00:31:55 UTC 2025","passed","Mon Nov 24 00:32:14 UTC 2025","","logging","",""
"","8525","test_lightdb_observed","hil.zephyr.esp32s3_devkitc","Mon Nov 24 00:31:06 UTC 2025","passed","Mon Nov 24 00:31:14 UTC 2025","","test_lightdb","",""
"","6398","test_block_upload","hil.zephyr.rak5010","Mon Nov 24 00:11:17 UTC 2025","passed","Mon Nov 24 00:11:23 UTC 2025","","test_stream","",""
"","25322","test_lightdb_get","sample.zephyr.native_sim_64","Mon Nov 24 00:06:01 UTC 2025","passed","Mon Nov 24 00:06:26 UTC 2025","","lightdb_get","",""
"","905","test_object_return","hil.zephyr.rak5010","Mon Nov 24 00:07:21 UTC 2025","passed","Mon Nov 24 00:07:21 UTC 2025","","test_rpc","",""
"","68263","test_lightdb_get","sample.zephyr.rak5010","Mon Nov 24 00:39:28 UTC 2025","passed","Mon Nov 24 00:40:36 UTC 2025","","lightdb_get","",""
"","3003","test_set_string","hil.zephyr.nrf52840dk","Mon Nov 24 00:11:14 UTC 2025","passed","Mon Nov 24 00:11:17 UTC 2025","","test_settings","",""
"","1026","test_block_operations","hil.linux.linux","Mon Nov 24 00:03:43 UTC 2025","passed","Mon Nov 24 00:03:44 UTC 2025","","test_ota","",""
"","11994","test_int_too_large","hil.zephyr.frdm_rw612","Mon Nov 24 00:21:05 UTC 2025","passed","Mon Nov 24 00:21:17 UTC 2025","","test_settings","",""
"","2775","test_set_string","hil.zephyr.native_sim_32","Mon Nov 24 00:06:20 UTC 2025","passed","Mon Nov 24 00:06:23 UTC 2025","","test_settings","",""
"","3527","test_set_float","hil.zephyr.nrf9160dk","Mon Nov 24 00:34:10 UTC 2025","passed","Mon Nov 24 00:34:14 UTC 2025","","test_settings","",""
"","11738","test_set_int_range_out_min","hil.zephyr.nrf52840dk","Mon Nov 24 00:10:41 UTC 2025","passed","Mon Nov 24 00:10:53 UTC 2025","","test_settings","",""
"","250","test_float_return","hil.zephyr.native_sim_32","Mon Nov 24 00:05:21 UTC 2025","passed","Mon Nov 24 00:05:21 UTC 2025","","test_rpc","",""
"","60815","test_hello","sample.zephyr.rak5010","Mon Nov 24 00:34:20 UTC 2025","passed","Mon Nov 24 00:35:21 UTC 2025","","hello.psa_crypto","",""
"","146139","test_fw_update","sample.zephyr.nrf52840dk","Mon Nov 24 00:19:31 UTC 2025","passed","Mon Nov 24 00:21:57 UTC 2025","","fw_update","",""
"","1069","test_not_registered","hil.zephyr.rak5010","Mon Nov 24 00:07:11 UTC 2025","passed","Mon Nov 24 00:07:12 UTC 2025","","test_rpc","",""
"","58781","test_hello","sample.zephyr.rak5010","Mon Nov 24 00:33:03 UTC 2025","passed","Mon Nov 24 00:34:02 UTC 2025","","hello.cid","",""
"","13594","test_hello","sample.esp-idf.esp32s3_devkitc_espidf","Mon Nov 24 00:30:24 UTC 2025","passed","Mon Nov 24 00:30:37 UTC 2025","","test_sample","",""
"","272","test_multi_block_upload","hil.esp-idf.esp32s3_devkitc_espidf","Mon Nov 24 00:23:03 UTC 2025","passed","Mon Nov 24 00:23:03 UTC 2025","","test_stream","",""
"","19038","test_observation_cancel_all","hil.zephyr.esp32s3_devkitc","Mon Nov 24 00:15:11 UTC 2025","passed","Mon Nov 24 00:15:30 UTC 2025","","test_rpc","",""
"","12013","test_int_too_small","hil.zephyr.frdm_rw612","Mon Nov 24 00:21:17 UTC 2025","passed","Mon Nov 24 00:21:29 UTC 2025","","test_settings","",""
"","903","test_manifest","hil.zephyr.nrf9160dk","Mon Nov 24 00:40:11 UTC 2025","passed","Mon Nov 24 00:40:12 UTC 2025","","test_ota","",""
"","1842","test_lightdb_reported","hil.zephyr.native_sim_64","Mon Nov 24 00:05:12 UTC 2025","passed","Mon Nov 24 00:05:14 UTC 2025","","test_lightdb","",""
"","207","test_multi_block_upload","hil.linux.linux","Mon Nov 24 00:03:43 UTC 2025","passed","Mon Nov 24 00:03:43 UTC 2025","","test_stream","",""
"","323","test_unrecognized_key","hil.zephyr.esp32s3_devkitc","Mon Nov 24 00:24:05 UTC 2025","passed","Mon Nov 24 00:24:05 UTC 2025","","test_settings","",""
"","50680","test_reason_and_state","hil.zephyr.rak5010","Mon Nov 24 00:08:01 UTC 2025","passed","Mon Nov 24 00:08:51 UTC 2025","","test_ota","",""
